credit_id,client_id,montant_demande_fcfa,duree_mois,nb_transactions_30j,a_fait_defaut,nom,ville,age,metier,revenu_mensuel_fcfa,anciennete_mobile_money_mois,operateur_principal,nb_transactions_total,montant_total_fcfa,montant_moyen_fcfa,montant_max_fcfa,montant_std_fcfa,nb_types_distincts,nb_operateurs_distincts,jours_depuis_derniere_trans,nb_achat_credit,nb_depot,nb_paiement_facture,nb_retrait,nb_transfert
1,2,208125,12,18,0,Gérard-Frédéric Joly,Libreville,23,Couturier(ère),110639,3,airtel,18,371168,20620.444444444445,43179,13275.194529303504,5,1,7,4,1,5,4,4
2,5,474901,6,33,0,Alexandre Morin,Mouila,24,Coiffeur(se),200665,6,moov,33,1261223,38218.878787878784,78018,22978.12843330258,5,1,3,13,4,4,5,7
3,8,93326,9,60,0,Laurence Robert,Lambaréné,28,Coiffeur(se),78767,54,moov,60,933411,15556.85,31471,8422.893202004456,5,1,0,11,12,11,10,16
4,9,123819,12,66,1,Marcel Leblanc,Port-Gentil,56,Chauffeur de taxi,65649,60,gimac,66,828258,12549.363636363636,25855,7504.738233812155,5,1,0,13,16,10,10,17
5,10,113822,9,20,1,Denis-Franck Ledoux,Moanda,58,Agriculteur(trice),130863,25,airtel,20,533023,26651.15,51117,12593.164333227936,5,1,1,2,4,2,9,3
6,11,155340,12,46,0,Caroline Morin,Libreville,32,Commerçant(e),330783,50,moov,46,2911393,63291.15217391304,99670,29994.183977688732,5,1,5,9,9,10,10,8
7,12,176058,9,68,0,Brigitte Pelletier,Lambaréné,31,Restaurateur(trice),88526,59,moov,68,1221711,17966.33823529412,35252,9018.45087900487,5,1,6,21,11,12,12,12
8,15,137922,6,40,1,Robert Cousin,Port-Gentil,27,Chauffeur de taxi,99786,4,gimac,40,827086,20677.15,39390,11076.680715324008,5,1,0,12,9,9,8,2
9,16,69908,3,37,0,Maryse Verdier de la Fischer,Tchibanga,51,Vendeur(se) au marché,90621,25,gimac,37,744603,20124.405405405407,36019,9824.450885021115,5,1,16,6,9,4,7,11
10,17,329661,9,24,1,Alphonse Peltier,Moanda,59,Coiffeur(se),201549,35,airtel,24,1224930,51038.75,79424,22663.363421764134,5,1,5,5,2,4,7,6
11,19,25000,6,29,1,Laurent Lopes,Oyem,27,Coiffeur(se),55569,39,airtel,29,335882,11582.137931034482,21803,5952.141815731652,5,1,1,2,8,5,5,9
12,20,272222,12,59,0,Mathilde Goncalves,Libreville,56,Coiffeur(se),118551,34,moov,59,1513350,25650.0,47160,13716.210058879615,5,1,2,8,11,13,13,14
13,21,104765,12,64,0,Marthe Lacroix,Port-Gentil,23,Restaurateur(trice),79992,57,airtel,64,998108,15595.4375,31822,8714.769313441862,5,1,1,10,15,13,18,8
14,22,25000,6,25,1,Zacharie-Tristan Guérin,Franceville,34,Agriculteur(trice),31820,36,gimac,25,168830,6753.2,12486,3712.6711969506086,5,1,0,4,3,2,8,8
15,23,59774,12,62,0,Denise Joubert de la Goncalves,Oyem,63,Vendeur(se) au marché,89288,35,moov,62,1173147,18921.725806451614,34772,10147.286269170858,5,1,0,19,11,13,13,6
16,24,115839,6,47,0,Monique Dupuy,Oyem,32,Artisan(e),86502,8,moov,47,811403,17263.893617021276,32916,9459.567593376243,5,1,0,12,8,10,10,7
17,25,63868,9,64,0,Geneviève Pottier-Germain,Libreville,32,Artisan(e),108195,46,airtel,64,1437151,22455.484375,43007,13133.576828770307,5,1,2,15,14,14,10,11
